epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,277.851,1.38281,5.20438,1.15839,0.00047,0.15238,0.00063,0.00027,1.07581,4.55523,0.94574,8.888e-05,8.888e-05,8.888e-05
2,551.698,1.37334,4.47413,1.0279,0.00126,0.31429,0.07354,0.0343,1.23264,4.50014,0.94761,0.000187,0.000187,0.000187
3,793.339,1.60666,4.59953,1.02348,0.00185,0.35714,0.13101,0.07711,1.28877,4.52939,0.95991,0.000283141,0.000283141,0.000283141
4,978.587,1.20795,2.87704,0.96995,0.00151,0.30238,0.14557,0.07232,1.23869,4.48075,0.95105,0.000377301,0.000377301,0.000377301
5,1209.75,1.33784,2.53023,1.01186,0.00086,0.17381,0.04445,0.02744,1.24652,4.62002,0.9466,0.000469482,0.000469482,0.000469482
6,1396.91,1.37012,2.3874,1.02703,0.00075,0.13571,0.03931,0.0263,1.30782,4.44549,0.9834,0.000559683,0.000559683,0.000559683
7,1644.14,1.53909,3.15701,0.99738,0.0009,0.17381,0.04471,0.02593,1.32875,4.38482,0.9712,0.000647904,0.000647904,0.000647904
8,1859.62,1.19871,2.88383,0.89263,0.00196,0.33571,0.08332,0.06245,1.29589,4.1602,0.9606,0.000734145,0.000734145,0.000734145
9,2064.7,1.09383,2.71732,0.89932,0.00302,0.55952,0.284,0.20521,1.18152,3.90588,0.95323,0.000818407,0.000818407,0.000818407
10,2306.42,1.24813,2.08852,0.99307,0.00441,0.89286,0.5433,0.36972,1.16623,3.70772,0.97251,0.000900689,0.000900689,0.000900689
11,2498.15,1.28623,1.86792,1.06073,1,0.07846,0.85848,0.55385,1.24232,3.3034,0.99452,0.000980991,0.000980991,0.000980991
12,2675.53,1.09921,1.70347,0.93757,0.96451,0.4222,0.91397,0.59665,1.25859,2.91872,0.9797,0.000990012,0.000990012,0.000990012
13,2825.74,1.01958,2.20608,0.86443,0.89653,0.69956,0.93064,0.62617,1.21231,2.52674,0.95705,0.000979013,0.000979013,0.000979013
14,2959.42,1.02562,2.18739,0.86281,0.89397,0.82424,0.93866,0.64589,1.20437,2.31544,0.9595,0.000968014,0.000968014,0.000968014
